City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Livermore,"88,316",233,3,20,,43,167,"2,113",255,"1,596",262,28
Livingston,"14,007",58,1,6,,11,40,360,79,204,77,2
Lodi3,"64,369",377,4,12,,94,267,"2,093",410,"1,243",440,8
Loma Linda,"23,985",27,0,3,,7,17,738,184,396,158,1
Lomita,"20,893",67,1,5,,17,44,401,80,277,44,2
Long Beach,"476,318","2,766",36,177,,"1,054","1,499","14,337","3,094","8,413","2,830",69
Los Alamitos3,"11,789",18,1,3,,10,4,224,52,121,51,2
Los Altos,"30,598",6,0,4,,1,1,333,120,194,19,0
Los Altos Hills,"8,485",1,0,0,,1,0,60,24,32,4,2
Los Angeles,"3,962,726","25,156",282,"2,209",,"8,952","13,713","93,503","16,160","61,191","16,152","1,131"
Los Banos,"37,395",131,1,4,,38,88,"1,357",307,805,245,10
Los Gatos,"31,044",31,0,7,,14,10,701,149,494,58,5
Lynwood,"72,398",414,5,18,,149,242,"1,419",293,484,642,16
Madera,"64,127",450,3,18,,94,335,"1,922",462,"1,135",325,4
Malibu,"13,033",25,0,8,,7,10,360,84,255,21,1
Mammoth Lakes,"7,955",14,0,2,,1,11,143,25,107,11,0
Manhattan Beach3,"36,065",70,0,8,,36,26,947,206,697,44,2
Manteca,"75,019",213,5,10,,82,116,"2,449",420,"1,624",405,20
Marina,"21,094",51,3,5,,21,22,543,84,391,68,3
Martinez,"37,923",51,0,4,,22,25,954,164,570,220,0
Marysville,"12,264",85,2,7,,23,53,482,78,311,93,4
Maywood,"28,070",73,2,6,,18,47,358,39,175,144,3
McFarland,"13,848",61,1,10,,6,44,275,71,103,101,10
Menifee,"87,051",125,2,0,,45,78,"1,799",290,"1,201",308,0
Mendota,"11,470",90,2,2,,9,77,307,62,132,113,7
Menlo Park3,"33,619",32,0,9,,6,17,616,143,448,25,1
Merced,"82,409",763,11,31,,151,570,"2,760",588,"1,608",564,81
Mill Valley,"14,527",4,0,0,,2,2,221,47,159,15,1
Milpitas,"75,520",77,1,9,,37,30,"1,966",277,"1,424",265,11
Mission Viejo,"98,217",86,1,14,,32,39,"1,090",155,859,76,7
Modesto,"210,794","2,025",25,85,,488,"1,427","10,123","1,639","6,749","1,735",66
Monrovia,"37,618",47,2,4,,19,22,702,103,504,95,3
Montague3,"1,385",1,0,0,,0,1,19,6,12,1,0
Montclair,"38,899",221,4,20,,76,121,"1,740",254,"1,105",381,11
Montebello3,"64,280",158,3,6,,73,76,"1,682",582,597,503,20
Monterey,"28,491",136,3,13,,42,78,998,167,755,76,5
Monterey Park3,"61,750",103,0,6,,57,40,"1,349",378,728,243,3
Monte Sereno,"3,582",0,0,0,,0,0,41,10,28,3,0
Moorpark,"35,804",35,0,4,,7,24,336,78,233,25,1
Moraga,"17,284",7,0,1,,2,4,202,41,136,25,1
Moreno Valley,"205,182",643,6,33,,275,329,"6,663","1,190","4,312","1,161",13
Morgan Hill3,"43,154",71,1,4,,16,50,730,100,520,110,3
Morro Bay,"10,620",46,0,3,,4,39,276,54,211,11,0
Mountain View,"80,705",164,0,10,,31,123,"2,030",327,"1,561",142,7
Mount Shasta3,"3,258",4,0,0,,2,2,50,6,40,4,1
Murrieta,"109,495",69,0,6,,30,33,"1,700",287,"1,173",240,12
Napa,"80,749",298,0,38,,30,230,"1,412",355,905,152,6
National City,"60,768",327,2,16,,142,167,"1,449",183,942,324,14
Needles,"4,998",25,1,2,,4,18,185,80,82,23,5
Nevada City3,"3,020",14,0,2,,2,10,109,27,68,14,3
Newark,"45,258",101,1,8,,54,38,"1,168",287,701,180,8
Newman,"10,881",16,0,2,,2,12,147,29,86,32,0
Newport Beach,"87,749",112,2,20,,24,66,"2,181",394,"1,652",135,4
Norco,"26,925",49,0,4,,19,26,709,135,505,69,0
Norwalk,"107,470",400,9,33,,131,227,"1,910",395,"1,087",428,6
Novato,"55,782",103,2,9,,27,65,"1,032",219,676,137,18
Oakdale,"22,137",43,0,6,,14,23,861,167,628,66,6
Oakland,"419,481","6,051",85,285,,"3,290","2,391","24,568","3,333","14,846","6,389",179
Oakley,"40,163",68,2,6,,21,39,592,91,305,196,4
Oceanside,"176,319",702,9,68,,216,409,"4,597",589,"3,541",467,15
Ojai,"7,665",7,0,0,,1,6,66,15,49,2,0
Ontario,"170,274",547,3,31,,217,296,"5,169",897,"3,206","1,066",32
Orange3,"140,572",172,7,11,,62,92,"2,897",525,"2,016",356,8
Orange Cove,"9,715",15,1,0,,5,9,150,41,62,47,0
Orinda,"19,311",5,0,0,,3,2,229,50,164,15,0
Orland3,"7,549",22,2,1,,4,15,119,27,76,16,0
Oroville3,"16,289",108,0,17,,31,60,"1,143",264,710,169,4
Oxnard,"207,221",920,12,21,,385,502,"6,696","1,103","4,758",835,24
Pacifica,"39,531",68,0,18,,17,33,703,138,492,73,3
Pacific Grove,"15,734",7,0,1,,3,3,288,51,219,18,0
Palmdale,"159,613",830,7,44,,251,528,"2,988",803,"1,730",455,22
Palm Desert,"51,847",117,0,3,,41,73,"2,299",375,"1,788",136,3
Palm Springs,"47,388",279,3,24,,84,168,"3,029",898,"1,790",341,10
Palo Alto3,"67,560",68,2,13,,26,27,"1,704",213,"1,405",86,6
Palos Verdes Estates,"13,739",7,0,1,,4,2,169,82,78,9,2
Paradise3,"26,514",52,1,9,,11,31,521,212,245,64,5
Paramount,"55,727",283,1,10,,121,151,"1,692",246,956,490,3
Parlier,"15,106",95,1,11,,8,75,240,76,109,55,14
Pasadena3,"141,815",428,4,57,,131,236,"3,693",830,"2,540",323,45
Paso Robles3,"31,659",62,0,4,,12,46,"1,106",169,848,89,1
Patterson3,"21,410",50,0,2,,16,32,498,132,250,116,3
Perris,"75,036",178,3,1,,76,98,"1,833",323,"1,025",485,2
